"International Visitors--
   1) Country of Residence
   2) 1+ nights in the USA
   3)  Among qualified visa types";"World 
Region";;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;; - - -;-12,3 %;-8,2 %;-4,2 %;10,8 %;28,9 %;3,6 %;10,1 %;3,3 %;-5,0 %;8,9 %;5,8 %;5,5 %;7,0 %;5,2 %;3,2 %;-1,8 %;1,0 %;3,3 %;-0,4 %;-75,8 %;16,0 %;127,9 %;30,7 %;9,1 %
;;; - - -;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;; - - -;-15,9 %;-12,4 %;-5,7 %;12,7 %;6,7 %;-0,0 %;10,3 %;6,1 %;-6,3 %;11,0 %;8,3 %;5,4 %;12,0 %;4,8 %;9,6 %;-1,5 %;2,0 %;2,5 %;1,3 %;-81,2 %;20,8 %;161,1 %;31,4 %;11,7 %
;;; - - -;;;;;;;;;;;;;;;;;;;;;;;;
AFRICA;;; - - -;-2,8 %;-16,0 %;-2,1 %;1,9 %;4,8 %;0,1 %;10,0 %;13,5 %;-6,8 %;7,4 %;9,4 %;11,1 %;22,7 %;13,3 %;7,4 %;0,5 %;1,8 %;2,0 %;-5,2 %;-81,1 %;43,6 %;138,3 %;44,7 %;10,9 %
ASIA;;; - - -;-16,4 %;-9,9 %;-12,1 %;16,0 %;6,8 %;-0,7 %;3,7 %;-3,1 %;-8,3 %;23,8 %;6,7 %;13,1 %;12,4 %;3,3 %;11,3 %;5,4 %;5,2 %;-2,2 %;3,2 %;-82,3 %;-40,4 %;219,8 %;83,1 %;21,6 %
CARIBBEAN;;; - - -;-9,7 %;-12,4 %;-5,2 %;9,7 %;3,7 %;5,6 %;9,9 %;-8,8 %;0,4 %;-0,4 %;-8,7 %;0,1 %;12,6 %;8,4 %;10,5 %;7,3 %;5,3 %;7,3 %;7,1 %;-73,4 %;93,7 %;36,5 %;22,4 %;8,8 %
CENTRAL AMERICA;;; - - -;-6,2 %;-8,7 %;-6,8 %;5,4 %;0,7 %;-0,3 %;13,3 %;-1,4 %;-2,3 %;0,3 %;-0,7 %;5,3 %;10,9 %;6,8 %;14,2 %;10,3 %;-1,6 %;9,9 %;5,9 %;-71,2 %;201,9 %;0,9 %;23,6 %;9,4 %
EASTERN EUROPE;;; - - -;-8,8 %;-7,7 %;-2,9 %;10,3 %;13,9 %;6,3 %;11,5 %;14,0 %;-2,2 %;6,1 %;13,5 %;5,6 %;24,3 %;8,2 %;-1,0 %;3,5 %;8,9 %;-0,2 %;5,1 %;-78,2 %;6,0 %;167,0 %;32,0 %;18,1 %
