International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFRICA;;;295.387;287.066;241.223;236.266;240.752;252.196;252.560;277.776;315.235;293.765;315.645;345.223;383.637;470.670;533.075;572.577;575.615;586.084;597.820;566.677;107.164;153.841;366.585;530.513;588.177;;AFRICA;
ASIA;;;7.554.444;6.315.500;5.689.319;5.003.261;5.801.834;6.198.087;6.151.748;6.377.494;6.178.602;5.668.721;7.019.502;7.490.432;8.468.356;9.516.278;9.832.750;10.945.633;11.537.906;12.137.018;11.874.014;12.250.386;2.164.850;1.289.368;4.123.899;7.549.188;9.182.300;;ASIA;
CARIBBEAN;;;1.331.297;1.201.811;1.052.576;998.266;1.094.908;1.134.886;1.198.027;1.316.902;1.201.149;1.206.068;1.200.740;1.096.278;1.097.104;1.234.995;1.338.892;1.479.439;1.586.882;1.670.632;1.793.081;1.920.918;511.143;990.181;1.351.558;1.654.486;1.799.752;;CARIBBEAN;
CENTRAL AMERICA;;;821.614;770.803;704.050;655.841;691.580;696.207;693.821;786.281;775.590;757.905;760.441;755.250;795.611;882.319;942.540;1.076.648;1.187.209;1.167.986;1.283.374;1.359.559;391.141;1.180.707;1.191.561;1.473.063;1.611.508;;CENTRAL AMERICA;
EASTERN EUROPE;;;421.959;384.674;354.905;344.594;380.059;432.702;460.069;512.825;584.602;571.598;606.422;688.243;726.809;903.153;977.016;967.414;1.000.807;1.089.981;1.088.101;1.143.816;248.940;263.947;704.786;930.347;1.098.994;;EASTERN EUROPE;
WESTERN EUROPE;;;11.175.161;9.111.460;8.247.779;8.294.083;9.305.859;9.879.934;9.675.462;10.893.661;12.198.081;10.978.668;11.378.767;12.245.541;11.930.261;12.668.124;13.292.127;14.822.680;13.830.360;13.883.744;14.335.789;14.562.327;2.219.577;1.697.633;10.341.306;12.229.492;13.067.365;;WESTERN EUROPE;
MIDDLE EAST;;;702.105;644.156;482.534;447.112;502.170;527.361;552.730;619.818;680.974;665.942;735.549;852.208;953.350;1.110.337;1.254.143;1.368.534;1.342.230;1.181.644;1.197.387;1.215.830;261.869;512.779;861.107;1.035.463;1.101.913;;MIDDLE EAST;
OCEANIA;;;731.263;586.309;529.091;524.599;659.753;736.840;756.226;833.718;851.619;871.982;1.095.252;1.264.474;1.336.251;1.572.372;1.592.046;1.767.838;1.661.486;1.632.394;1.686.879;1.640.992;256.720;67.396;798.444;1.232.590;1.310.431;;OCEANIA;
SOUTH AMERICA;;;2.941.471;2.531.089;1.815.230;1.522.191;1.645.342;1.820.315;1.927.647;2.273.802;2.555.599;2.741.535;3.250.298;3.801.982;4.379.529;5.330.429;5.533.253;5.699.387;5.406.909;5.556.041;6.026.916;5.732.841;1.433.066;3.018.855;4.213.711;4.833.339;5.398.809;;SOUTH AMERICA;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Overseas (air only);;;25.278.455;21.231.280;18.622.156;17.545.842;19.746.198;20.885.148;20.571.843;22.586.648;23.979.322;22.407.141;24.585.877;26.556.582;27.943.043;31.404.878;33.205.790;37.058.452;36.581.414;37.410.877;38.353.856;38.443.192;7.269.827;8.957.843;22.221.737;28.593.935;31.673.110;;Overseas (air only);
